card_id,bank_name,card_tier,commercial_activity_score,risk_segment,opportunity_segment,recommended_action,confidence_level,top_reason_1,top_reason_2,top_reason_3,expected_value_kzt,feedback_status
MC-KZ-00001,Halyk Bank,Business,0.36,Medium,SME Lending,Enable trade finance package,0.83,Low utilization of existing credit,Seasonal revenue spike detected,Cash flow volatility within acceptable band,473865,Pending
MC-KZ-00002,Eurasian Bank,Business,0.643,High,Trade Finance,Invite to merchant program,0.84,Industry sector growth above national average,High cross-border payment velocity,Seasonal revenue spike detected,2217882,Rejected
MC-KZ-00003,Kaspi Bank,Platinum,0.153,Low,SME Lending,Offer SME credit line,0.82,Frequent B2B supplier payments,Multiple POS terminals registered,Strong repayment history on retail products,279703,Rejected
MC-KZ-00004,Jusan Bank,Standard,0.391,Low,Treasury Services,Schedule relationship call,0.94,High cross-border payment velocity,E-commerce platform integrations active,Growing monthly turnover vs peer median,1720607,Rejected
MC-KZ-00005,Home Credit Bank,Gold,0.632,Medium,SME Lending,Cross-sell working capital,0.79,High cross-border payment velocity,Seasonal revenue spike detected,Low utilization of existing credit,2809442,Rejected
MC-KZ-00006,Kaspi Bank,Gold,0.692,High,Trade Finance,Cross-sell working capital,0.79,Low utilization of existing credit,Growing monthly turnover vs peer median,Frequent B2B supplier payments,1921212,Accepted
MC-KZ-00007,Jusan Bank,Platinum,0.687,Medium,SME Lending,Invite to merchant program,0.96,High cross-border payment velocity,Seasonal revenue spike detected,Industry sector growth above national average,2595946,Rejected
MC-KZ-00008,Eurasian Bank,Business,0.75,High,Treasury Services,Schedule relationship call,0.91,E-commerce platform integrations active,Frequent B2B supplier payments,Low utilization of existing credit,987474,Deferred
MC-KZ-00009,Halyk Bank,Standard,0.31,Low,Merchant Acquiring,Propose payroll bundle,0.76,Seasonal revenue spike detected,Frequent B2B supplier payments,E-commerce platform integrations active,352273,Deferred
MC-KZ-00010,Home Credit Bank,Standard,0.504,Medium,Payroll Solutions,Propose payroll bundle,0.75,Industry sector growth above national average,E-commerce platform integrations active,Low utilization of existing credit,2214067,Rejected
MC-KZ-00011,Eurasian Bank,Platinum,0.286,Low,Treasury Services,Monitor — nurture in 90 days,0.77,Low utilization of existing credit,Multiple POS terminals registered,Frequent B2B supplier payments,708930,Pending
MC-KZ-00012,Kaspi Bank,Business,0.269,Low,Treasury Services,Offer SME credit line,0.88,Cash flow volatility within acceptable band,Seasonal revenue spike detected,Frequent B2B supplier payments,587356,Deferred
MC-KZ-00013,Bank CenterCredit,Standard,0.922,High,SME Lending,Propose payroll bundle,0.85,Low utilization of existing credit,Seasonal revenue spike detected,High cross-border payment velocity,1559309,Pending
MC-KZ-00014,Kaspi Bank,Platinum,0.363,Low,Treasury Services,Monitor — nurture in 90 days,0.88,Frequent B2B supplier payments,Industry sector growth above national average,E-commerce platform integrations active,1562112,Accepted
MC-KZ-00015,Eurasian Bank,Platinum,0.452,Low,Trade Finance,Enable trade finance package,0.84,Seasonal revenue spike detected,Low utilization of existing credit,Multiple POS terminals registered,2025888,Accepted
MC-KZ-00016,Halyk Bank,Standard,0.685,High,Payroll Solutions,Propose payroll bundle,0.74,Industry sector growth above national average,Cash flow volatility within acceptable band,Seasonal revenue spike detected,2039401,Pending
MC-KZ-00017,Jusan Bank,Gold,0.494,Low,Treasury Services,Invite to merchant program,0.91,Growing monthly turnover vs peer median,Cash flow volatility within acceptable band,Seasonal revenue spike detected,904201,Deferred
MC-KZ-00018,Jusan Bank,Platinum,0.739,High,Trade Finance,Cross-sell working capital,0.84,Multiple POS terminals registered,Seasonal revenue spike detected,Growing monthly turnover vs peer median,856238,Pending
MC-KZ-00019,Home Credit Bank,Standard,0.744,Medium,Merchant Acquiring,Invite to merchant program,0.77,Growing monthly turnover vs peer median,High cross-border payment velocity,Multiple POS terminals registered,2599826,Deferred
MC-KZ-00020,Home Credit Bank,Business,0.623,High,SME Lending,Offer SME credit line,0.89,E-commerce platform integrations active,Seasonal revenue spike detected,Growing monthly turnover vs peer median,1519861,Pending
MC-KZ-00021,Kaspi Bank,World,0.521,Low,SME Lending,Invite to merchant program,0.82,Seasonal revenue spike detected,Frequent B2B supplier payments,Multiple POS terminals registered,1352970,Deferred
MC-KZ-00022,Eurasian Bank,Business,0.664,Medium,Payroll Solutions,Propose payroll bundle,0.85,E-commerce platform integrations active,Low utilization of existing credit,Multiple POS terminals registered,2242586,Accepted
MC-KZ-00023,Halyk Bank,Standard,0.737,Medium,Treasury Services,Cross-sell working capital,0.85,Industry sector growth above national average,Cash flow volatility within acceptable band,High cross-border payment velocity,2629255,Accepted
MC-KZ-00024,Kaspi Bank,World,0.753,High,SME Lending,Enable trade finance package,0.78,Frequent B2B supplier payments,Growing monthly turnover vs peer median,Cash flow volatility within acceptable band,2483610,Pending
MC-KZ-00025,Kaspi Bank,Platinum,0.518,Medium,Merchant Acquiring,Schedule relationship call,0.82,Industry sector growth above national average,Cash flow volatility within acceptable band,Strong repayment history on retail products,2205858,Rejected
MC-KZ-00026,Bank CenterCredit,Standard,0.722,Medium,SME Lending,Enable trade finance package,0.78,Growing monthly turnover vs peer median,High cross-border payment velocity,E-commerce platform integrations active,2236965,Rejected
MC-KZ-00027,Jusan Bank,Business,0.69,High,Payroll Solutions,Schedule relationship call,0.88,Growing monthly turnover vs peer median,Seasonal revenue spike detected,Strong repayment history on retail products,1279573,Pending
MC-KZ-00028,Halyk Bank,Business,0.572,Medium,Merchant Acquiring,Schedule relationship call,0.79,Growing monthly turnover vs peer median,Frequent B2B supplier payments,Low utilization of existing credit,701893,Accepted
MC-KZ-00029,Home Credit Bank,Standard,0.231,Low,SME Lending,Propose payroll bundle,0.83,Low utilization of existing credit,Cash flow volatility within acceptable band,E-commerce platform integrations active,399433,Rejected
MC-KZ-00030,Bank CenterCredit,World,0.683,High,Treasury Services,Offer SME credit line,0.75,Frequent B2B supplier payments,Low utilization of existing credit,Industry sector growth above national average,2419565,Accepted
MC-KZ-00031,Halyk Bank,Platinum,0.684,Medium,Working Capital,Monitor — nurture in 90 days,0.97,Industry sector growth above national average,Cash flow volatility within acceptable band,Frequent B2B supplier payments,1634904,Pending
MC-KZ-00032,Home Credit Bank,World,0.234,Low,Treasury Services,Propose payroll bundle,0.76,Seasonal revenue spike detected,Growing monthly turnover vs peer median,Strong repayment history on retail products,862625,Accepted
MC-KZ-00033,ForteBank,World,0.54,Low,Payroll Solutions,Monitor — nurture in 90 days,0.91,Frequent B2B supplier payments,Multiple POS terminals registered,High cross-border payment velocity,790363,Accepted
MC-KZ-00034,Kaspi Bank,Gold,0.665,Medium,Trade Finance,Schedule relationship call,0.8,Growing monthly turnover vs peer median,Multiple POS terminals registered,High cross-border payment velocity,2644569,Accepted
MC-KZ-00035,Home Credit Bank,Platinum,0.814,High,Working Capital,Propose payroll bundle,0.85,Multiple POS terminals registered,Strong repayment history on retail products,Low utilization of existing credit,3254458,Rejected
MC-KZ-00036,Bank CenterCredit,World,0.196,Low,Working Capital,Propose payroll bundle,0.92,Low utilization of existing credit,Frequent B2B supplier payments,Industry sector growth above national average,184544,Deferred
MC-KZ-00037,Jusan Bank,Standard,0.555,Medium,Treasury Services,Monitor — nurture in 90 days,0.86,Multiple POS terminals registered,Seasonal revenue spike detected,Low utilization of existing credit,535148,Accepted
MC-KZ-00038,ForteBank,Business,0.378,Medium,Working Capital,Propose payroll bundle,0.83,Strong repayment history on retail products,Industry sector growth above national average,Growing monthly turnover vs peer median,1309048,Deferred
MC-KZ-00039,Kaspi Bank,Business,0.572,Medium,Treasury Services,Schedule relationship call,0.83,Seasonal revenue spike detected,Multiple POS terminals registered,Cash flow volatility within acceptable band,1891076,Pending
MC-KZ-00040,Eurasian Bank,Gold,0.434,Medium,Treasury Services,Cross-sell working capital,0.93,Industry sector growth above national average,Strong repayment history on retail products,E-commerce platform integrations active,1056620,Accepted
MC-KZ-00041,Home Credit Bank,Gold,0.464,Medium,Payroll Solutions,Schedule relationship call,0.78,Industry sector growth above national average,Strong repayment history on retail products,Growing monthly turnover vs peer median,1776269,Accepted
MC-KZ-00042,Eurasian Bank,Business,0.568,High,Merchant Acquiring,Propose payroll bundle,0.9,E-commerce platform integrations active,Growing monthly turnover vs peer median,Industry sector growth above national average,1325389,Deferred
MC-KZ-00043,Home Credit Bank,Business,0.409,Medium,Trade Finance,Offer SME credit line,0.86,High cross-border payment velocity,Growing monthly turnover vs peer median,Multiple POS terminals registered,658372,Pending
MC-KZ-00044,Jusan Bank,Business,0.671,Medium,Payroll Solutions,Enable trade finance package,0.83,Cash flow volatility within acceptable band,Industry sector growth above national average,Strong repayment history on retail products,2895463,Deferred
MC-KZ-00045,Home Credit Bank,Platinum,0.447,Low,Treasury Services,Cross-sell working capital,0.88,E-commerce platform integrations active,Industry sector growth above national average,Low utilization of existing credit,1600964,Rejected
MC-KZ-00046,Bank CenterCredit,Standard,0.635,Medium,Merchant Acquiring,Invite to merchant program,0.78,Seasonal revenue spike detected,Low utilization of existing credit,Strong repayment history on retail products,1259158,Accepted
MC-KZ-00047,Kaspi Bank,World,0.176,Low,Trade Finance,Monitor — nurture in 90 days,0.87,Multiple POS terminals registered,Strong repayment history on retail products,E-commerce platform integrations active,411552,Pending
MC-KZ-00048,ForteBank,World,0.456,Low,Trade Finance,Enable trade finance package,0.91,Multiple POS terminals registered,E-commerce platform integrations active,High cross-border payment velocity,1955394,Accepted
MC-KZ-00049,Eurasian Bank,World,0.459,Medium,Payroll Solutions,Invite to merchant program,0.94,E-commerce platform integrations active,High cross-border payment velocity,Multiple POS terminals registered,938049,Accepted
MC-KZ-00050,Kaspi Bank,World,0.364,Low,Merchant Acquiring,Offer SME credit line,0.79,Multiple POS terminals registered,High cross-border payment velocity,Growing monthly turnover vs peer median,1156855,Rejected
MC-KZ-00051,Halyk Bank,World,0.681,High,SME Lending,Propose payroll bundle,0.86,Multiple POS terminals registered,Low utilization of existing credit,Industry sector growth above national average,1180449,Rejected
MC-KZ-00052,Halyk Bank,Business,0.577,High,Merchant Acquiring,Invite to merchant program,0.75,High cross-border payment velocity,Industry sector growth above national average,Seasonal revenue spike detected,887215,Pending
MC-KZ-00053,Eurasian Bank,Standard,0.437,Medium,Merchant Acquiring,Schedule relationship call,0.75,Low utilization of existing credit,Strong repayment history on retail products,Frequent B2B supplier payments,1329268,Pending
MC-KZ-00054,Eurasian Bank,Gold,0.38,Low,SME Lending,Propose payroll bundle,0.92,Multiple POS terminals registered,Industry sector growth above national average,Seasonal revenue spike detected,410851,Pending
MC-KZ-00055,Halyk Bank,Business,0.376,Low,Payroll Solutions,Schedule relationship call,0.72,High cross-border payment velocity,Strong repayment history on retail products,Multiple POS terminals registered,1221108,Deferred
MC-KZ-00056,Eurasian Bank,Business,0.192,Low,Payroll Solutions,Schedule relationship call,0.88,Strong repayment history on retail products,E-commerce platform integrations active,Frequent B2B supplier payments,462970,Deferred
MC-KZ-00057,Home Credit Bank,Standard,0.68,Medium,Working Capital,Cross-sell working capital,0.78,Industry sector growth above national average,Low utilization of existing credit,Strong repayment history on retail products,2686910,Deferred
MC-KZ-00058,Kaspi Bank,World,0.617,Medium,Merchant Acquiring,Schedule relationship call,0.93,Strong repayment history on retail products,High cross-border payment velocity,E-commerce platform integrations active,2436240,Rejected
MC-KZ-00059,Kaspi Bank,Standard,0.588,Medium,Merchant Acquiring,Propose payroll bundle,0.83,Low utilization of existing credit,Cash flow volatility within acceptable band,High cross-border payment velocity,1594374,Accepted
MC-KZ-00060,Kaspi Bank,World,0.608,Medium,Payroll Solutions,Invite to merchant program,0.8,E-commerce platform integrations active,Industry sector growth above national average,High cross-border payment velocity,695733,Rejected
MC-KZ-00061,Jusan Bank,Platinum,0.562,Medium,Working Capital,Schedule relationship call,0.78,Multiple POS terminals registered,Cash flow volatility within acceptable band,Strong repayment history on retail products,1181155,Accepted
MC-KZ-00062,ForteBank,Business,0.647,Medium,Treasury Services,Enable trade finance package,0.79,Frequent B2B supplier payments,Seasonal revenue spike detected,Cash flow volatility within acceptable band,2285746,Pending
MC-KZ-00063,Bank CenterCredit,Gold,0.268,Low,Working Capital,Offer SME credit line,0.97,Strong repayment history on retail products,Frequent B2B supplier payments,Low utilization of existing credit,228430,Rejected
MC-KZ-00064,Jusan Bank,World,0.401,Medium,Trade Finance,Schedule relationship call,0.77,E-commerce platform integrations active,Growing monthly turnover vs peer median,High cross-border payment velocity,1172539,Pending
MC-KZ-00065,Bank CenterCredit,Standard,0.695,Medium,Merchant Acquiring,Invite to merchant program,0.93,Growing monthly turnover vs peer median,Industry sector growth above national average,Multiple POS terminals registered,1820526,Rejected
MC-KZ-00066,Jusan Bank,World,0.649,High,Trade Finance,Schedule relationship call,0.94,Cash flow volatility within acceptable band,Multiple POS terminals registered,Seasonal revenue spike detected,2381873,Deferred
MC-KZ-00067,ForteBank,Standard,0.598,Medium,Merchant Acquiring,Invite to merchant program,0.77,Industry sector growth above national average,Growing monthly turnover vs peer median,Seasonal revenue spike detected,1862415,Pending
MC-KZ-00068,ForteBank,Platinum,0.713,High,Payroll Solutions,Monitor — nurture in 90 days,0.84,Industry sector growth above national average,E-commerce platform integrations active,Low utilization of existing credit,656507,Accepted
MC-KZ-00069,Kaspi Bank,Gold,0.465,Low,Working Capital,Monitor — nurture in 90 days,0.76,Industry sector growth above national average,Seasonal revenue spike detected,Multiple POS terminals registered,569473,Pending
MC-KZ-00070,Eurasian Bank,Platinum,0.673,High,Payroll Solutions,Cross-sell working capital,0.97,Industry sector growth above national average,Low utilization of existing credit,E-commerce platform integrations active,848053,Deferred
MC-KZ-00071,Kaspi Bank,Business,0.589,Medium,Treasury Services,Offer SME credit line,0.98,Multiple POS terminals registered,Strong repayment history on retail products,Low utilization of existing credit,527567,Rejected
MC-KZ-00072,Kaspi Bank,Business,0.655,Medium,Trade Finance,Propose payroll bundle,0.93,Frequent B2B supplier payments,E-commerce platform integrations active,Cash flow volatility within acceptable band,2744102,Pending
MC-KZ-00073,Eurasian Bank,World,0.513,Medium,Working Capital,Propose payroll bundle,0.97,Strong repayment history on retail products,Growing monthly turnover vs peer median,Frequent B2B supplier payments,1036400,Pending
MC-KZ-00074,Home Credit Bank,Standard,0.476,Medium,Payroll Solutions,Monitor — nurture in 90 days,0.86,Strong repayment history on retail products,Growing monthly turnover vs peer median,Multiple POS terminals registered,1904081,Deferred
MC-KZ-00075,Kaspi Bank,Platinum,0.757,High,Treasury Services,Invite to merchant program,0.96,Industry sector growth above national average,E-commerce platform integrations active,Cash flow volatility within acceptable band,2734257,Deferred
MC-KZ-00076,Halyk Bank,Business,0.344,Low,Trade Finance,Offer SME credit line,0.78,High cross-border payment velocity,Seasonal revenue spike detected,Frequent B2B supplier payments,670723,Pending
MC-KZ-00077,ForteBank,World,0.397,Medium,Trade Finance,Cross-sell working capital,0.78,Frequent B2B supplier payments,E-commerce platform integrations active,Low utilization of existing credit,1065082,Accepted
MC-KZ-00078,Home Credit Bank,World,0.719,Medium,Working Capital,Monitor — nurture in 90 days,0.85,Cash flow volatility within acceptable band,Frequent B2B supplier payments,Growing monthly turnover vs peer median,1310101,Pending
MC-KZ-00079,Jusan Bank,Platinum,0.469,Medium,Working Capital,Enable trade finance package,0.92,Industry sector growth above national average,E-commerce platform integrations active,Frequent B2B supplier payments,1150094,Deferred
MC-KZ-00080,Home Credit Bank,World,0.479,Medium,SME Lending,Schedule relationship call,0.91,Seasonal revenue spike detected,Industry sector growth above national average,Multiple POS terminals registered,797143,Deferred
MC-KZ-00081,Bank CenterCredit,Platinum,0.615,Medium,SME Lending,Monitor — nurture in 90 days,0.94,Frequent B2B supplier payments,E-commerce platform integrations active,High cross-border payment velocity,779273,Pending
MC-KZ-00082,Home Credit Bank,Platinum,0.533,Medium,Working Capital,Enable trade finance package,0.9,Frequent B2B supplier payments,Multiple POS terminals registered,Industry sector growth above national average,573969,Pending
MC-KZ-00083,Home Credit Bank,World,0.491,Low,Treasury Services,Offer SME credit line,0.88,Cash flow volatility within acceptable band,Multiple POS terminals registered,Strong repayment history on retail products,1531506,Accepted
MC-KZ-00084,Home Credit Bank,Standard,0.718,Medium,Trade Finance,Invite to merchant program,0.9,Seasonal revenue spike detected,Growing monthly turnover vs peer median,Multiple POS terminals registered,3173452,Pending
MC-KZ-00085,Kaspi Bank,Business,0.868,High,Trade Finance,Enable trade finance package,0.9,Low utilization of existing credit,Strong repayment history on retail products,Cash flow volatility within acceptable band,2077594,Accepted
MC-KZ-00086,Kaspi Bank,Gold,0.582,High,Trade Finance,Propose payroll bundle,0.79,Multiple POS terminals registered,Seasonal revenue spike detected,E-commerce platform integrations active,2431286,Rejected
MC-KZ-00087,ForteBank,Business,0.71,Medium,Working Capital,Propose payroll bundle,0.97,E-commerce platform integrations active,Low utilization of existing credit,Frequent B2B supplier payments,762035,Rejected
MC-KZ-00088,Bank CenterCredit,Platinum,0.471,Medium,Treasury Services,Schedule relationship call,0.98,Multiple POS terminals registered,E-commerce platform integrations active,Growing monthly turnover vs peer median,790178,Rejected
MC-KZ-00089,Eurasian Bank,Standard,0.882,High,Treasury Services,Propose payroll bundle,0.85,Multiple POS terminals registered,Low utilization of existing credit,High cross-border payment velocity,2552453,Rejected
MC-KZ-00090,Eurasian Bank,Gold,0.242,Low,Payroll Solutions,Offer SME credit line,0.95,Strong repayment history on retail products,Seasonal revenue spike detected,Cash flow volatility within acceptable band,749546,Pending
MC-KZ-00091,ForteBank,Platinum,0.526,Medium,Payroll Solutions,Cross-sell working capital,0.77,Industry sector growth above national average,Strong repayment history on retail products,Frequent B2B supplier payments,596218,Accepted
MC-KZ-00092,ForteBank,World,0.501,Low,Working Capital,Propose payroll bundle,0.95,Strong repayment history on retail products,Cash flow volatility within acceptable band,Low utilization of existing credit,1940247,Pending
MC-KZ-00093,Jusan Bank,Standard,0.38,Medium,Working Capital,Enable trade finance package,0.75,Seasonal revenue spike detected,Multiple POS terminals registered,Strong repayment history on retail products,430966,Rejected
MC-KZ-00094,Kaspi Bank,World,0.619,Medium,SME Lending,Enable trade finance package,0.95,Industry sector growth above national average,Multiple POS terminals registered,Strong repayment history on retail products,743345,Rejected
MC-KZ-00095,Halyk Bank,Gold,0.239,Low,SME Lending,Offer SME credit line,0.8,Growing monthly turnover vs peer median,E-commerce platform integrations active,Low utilization of existing credit,765322,Deferred
MC-KZ-00096,Eurasian Bank,Business,0.644,High,Trade Finance,Enable trade finance package,0.91,Cash flow volatility within acceptable band,Frequent B2B supplier payments,Multiple POS terminals registered,1596142,Accepted
MC-KZ-00097,ForteBank,Gold,0.412,Low,Trade Finance,Cross-sell working capital,0.97,E-commerce platform integrations active,Multiple POS terminals registered,Low utilization of existing credit,379473,Rejected
MC-KZ-00098,Kaspi Bank,Standard,0.824,High,Trade Finance,Offer SME credit line,0.89,Cash flow volatility within acceptable band,Strong repayment history on retail products,High cross-border payment velocity,1873048,Pending
MC-KZ-00099,Bank CenterCredit,Gold,0.683,High,Treasury Services,Invite to merchant program,0.93,Frequent B2B supplier payments,Seasonal revenue spike detected,Growing monthly turnover vs peer median,2643433,Accepted
MC-KZ-00100,Kaspi Bank,Gold,0.409,Medium,Treasury Services,Schedule relationship call,0.93,Industry sector growth above national average,High cross-border payment velocity,Low utilization of existing credit,1626226,Pending
