card_id,bank_name,card_tier,commercial_activity_score,risk_segment,opportunity_segment,recommended_action,confidence_level,top_reason_1,top_reason_2,top_reason_3,expected_value_kzt,feedback_status
MC-KZ-00101,Halyk Bank,Gold,0.36,Medium,Working Capital,Offer SME credit line,0.75,High cross-border payment velocity,Strong repayment history on retail products,Seasonal revenue spike detected,1072352,Deferred
MC-KZ-00102,Halyk Bank,World,0.648,Medium,Treasury Services,Invite to merchant program,0.97,E-commerce platform integrations active,Industry sector growth above national average,Strong repayment history on retail products,1748939,Pending
MC-KZ-00103,Halyk Bank,Standard,0.514,Low,Trade Finance,Monitor — nurture in 90 days,0.82,Cash flow volatility within acceptable band,Low utilization of existing credit,E-commerce platform integrations active,1634705,Pending
MC-KZ-00104,Halyk Bank,Gold,0.714,Medium,Working Capital,Enable trade finance package,0.88,Growing monthly turnover vs peer median,Industry sector growth above national average,Strong repayment history on retail products,2178200,Rejected
MC-KZ-00105,Eurasian Bank,Standard,0.589,Medium,Payroll Solutions,Propose payroll bundle,0.95,Low utilization of existing credit,E-commerce platform integrations active,Multiple POS terminals registered,687340,Accepted
MC-KZ-00106,Eurasian Bank,Standard,0.705,Medium,Working Capital,Cross-sell working capital,0.8,Multiple POS terminals registered,Strong repayment history on retail products,E-commerce platform integrations active,1604088,Rejected
MC-KZ-00107,Halyk Bank,World,0.411,Medium,SME Lending,Propose payroll bundle,0.91,E-commerce platform integrations active,Growing monthly turnover vs peer median,Cash flow volatility within acceptable band,1593676,Accepted
MC-KZ-00108,Jusan Bank,Platinum,0.585,Medium,Payroll Solutions,Monitor — nurture in 90 days,0.83,Cash flow volatility within acceptable band,Industry sector growth above national average,Strong repayment history on retail products,1918244,Pending
MC-KZ-00109,Jusan Bank,Gold,0.39,Low,SME Lending,Schedule relationship call,0.94,Strong repayment history on retail products,Growing monthly turnover vs peer median,Seasonal revenue spike detected,535276,Rejected
MC-KZ-00110,Eurasian Bank,Platinum,0.661,High,SME Lending,Invite to merchant program,0.79,Seasonal revenue spike detected,Multiple POS terminals registered,High cross-border payment velocity,2018219,Rejected
MC-KZ-00111,Eurasian Bank,Standard,0.29,Low,SME Lending,Propose payroll bundle,0.86,Frequent B2B supplier payments,Industry sector growth above national average,Multiple POS terminals registered,306665,Deferred
MC-KZ-00112,Bank CenterCredit,Business,0.486,Medium,SME Lending,Offer SME credit line,0.76,Strong repayment history on retail products,Low utilization of existing credit,Industry sector growth above national average,1785706,Pending
MC-KZ-00113,Kaspi Bank,Business,0.459,Medium,SME Lending,Schedule relationship call,0.83,Multiple POS terminals registered,E-commerce platform integrations active,Cash flow volatility within acceptable band,1070608,Rejected
MC-KZ-00114,Bank CenterCredit,Standard,0.587,Medium,SME Lending,Invite to merchant program,0.8,Cash flow volatility within acceptable band,Low utilization of existing credit,High cross-border payment velocity,948544,Accepted
MC-KZ-00115,Eurasian Bank,World,0.456,Low,Merchant Acquiring,Invite to merchant program,0.82,Low utilization of existing credit,Strong repayment history on retail products,Growing monthly turnover vs peer median,377842,Accepted
MC-KZ-00116,Halyk Bank,World,0.683,Medium,SME Lending,Cross-sell working capital,0.96,Strong repayment history on retail products,Growing monthly turnover vs peer median,Multiple POS terminals registered,2724165,Rejected
MC-KZ-00117,ForteBank,Gold,0.579,Medium,Treasury Services,Cross-sell working capital,0.94,Multiple POS terminals registered,Low utilization of existing credit,Growing monthly turnover vs peer median,1330901,Rejected
MC-KZ-00118,Jusan Bank,Platinum,0.888,High,Payroll Solutions,Schedule relationship call,0.78,Seasonal revenue spike detected,Multiple POS terminals registered,Cash flow volatility within acceptable band,2431931,Accepted
MC-KZ-00119,ForteBank,Platinum,0.803,High,Payroll Solutions,Monitor — nurture in 90 days,0.89,Cash flow volatility within acceptable band,Industry sector growth above national average,Seasonal revenue spike detected,3333987,Accepted
MC-KZ-00120,Eurasian Bank,Standard,0.609,High,Merchant Acquiring,Monitor — nurture in 90 days,0.88,Seasonal revenue spike detected,Frequent B2B supplier payments,Cash flow volatility within acceptable band,2200193,Deferred
MC-KZ-00121,Halyk Bank,World,0.454,Low,Trade Finance,Propose payroll bundle,0.8,E-commerce platform integrations active,Strong repayment history on retail products,Cash flow volatility within acceptable band,616778,Rejected
MC-KZ-00122,Halyk Bank,Platinum,0.491,Medium,Working Capital,Offer SME credit line,0.89,Growing monthly turnover vs peer median,Low utilization of existing credit,E-commerce platform integrations active,1213792,Pending
MC-KZ-00123,Home Credit Bank,Business,0.553,Medium,Payroll Solutions,Invite to merchant program,0.8,E-commerce platform integrations active,Cash flow volatility within acceptable band,High cross-border payment velocity,1362600,Deferred
MC-KZ-00124,Halyk Bank,Business,0.733,Medium,Payroll Solutions,Invite to merchant program,0.73,E-commerce platform integrations active,Growing monthly turnover vs peer median,Strong repayment history on retail products,3250728,Deferred
MC-KZ-00125,ForteBank,World,0.36,Low,Trade Finance,Monitor — nurture in 90 days,0.81,Industry sector growth above national average,Frequent B2B supplier payments,Strong repayment history on retail products,784639,Pending
MC-KZ-00126,Jusan Bank,Platinum,0.409,Low,Working Capital,Propose payroll bundle,0.94,Growing monthly turnover vs peer median,Strong repayment history on retail products,Industry sector growth above national average,1171566,Accepted
MC-KZ-00127,Eurasian Bank,World,0.583,Medium,Merchant Acquiring,Enable trade finance package,0.9,Frequent B2B supplier payments,Strong repayment history on retail products,Low utilization of existing credit,2553818,Pending
MC-KZ-00128,Jusan Bank,Business,0.501,Medium,Working Capital,Offer SME credit line,0.81,Strong repayment history on retail products,Frequent B2B supplier payments,Growing monthly turnover vs peer median,1598336,Accepted
MC-KZ-00129,Kaspi Bank,Standard,0.287,Low,Working Capital,Monitor — nurture in 90 days,0.92,E-commerce platform integrations active,Seasonal revenue spike detected,Cash flow volatility within acceptable band,1291475,Pending
MC-KZ-00130,Kaspi Bank,Business,0.701,Medium,Merchant Acquiring,Propose payroll bundle,0.83,Industry sector growth above national average,Frequent B2B supplier payments,Multiple POS terminals registered,960885,Deferred
MC-KZ-00131,Kaspi Bank,Platinum,0.638,Medium,Trade Finance,Monitor — nurture in 90 days,0.77,E-commerce platform integrations active,Low utilization of existing credit,Industry sector growth above national average,1062787,Deferred
MC-KZ-00132,Home Credit Bank,Gold,0.463,Medium,Treasury Services,Invite to merchant program,0.95,Multiple POS terminals registered,Cash flow volatility within acceptable band,Industry sector growth above national average,2025714,Pending
MC-KZ-00133,Home Credit Bank,Gold,0.7,Medium,Working Capital,Cross-sell working capital,0.96,Cash flow volatility within acceptable band,Growing monthly turnover vs peer median,Industry sector growth above national average,1298313,Accepted
MC-KZ-00134,Jusan Bank,Standard,0.187,Low,Trade Finance,Enable trade finance package,0.82,Seasonal revenue spike detected,E-commerce platform integrations active,Strong repayment history on retail products,793394,Deferred
MC-KZ-00135,Eurasian Bank,Platinum,0.3,Low,Merchant Acquiring,Invite to merchant program,0.73,High cross-border payment velocity,Strong repayment history on retail products,Growing monthly turnover vs peer median,1171486,Deferred
MC-KZ-00136,Halyk Bank,Platinum,0.406,Medium,Merchant Acquiring,Monitor — nurture in 90 days,0.76,E-commerce platform integrations active,Industry sector growth above national average,High cross-border payment velocity,1685579,Deferred
MC-KZ-00137,Eurasian Bank,Business,0.665,High,Trade Finance,Offer SME credit line,0.75,Low utilization of existing credit,Growing monthly turnover vs peer median,High cross-border payment velocity,1118680,Deferred
MC-KZ-00138,Halyk Bank,Business,0.357,Medium,Working Capital,Invite to merchant program,0.87,Cash flow volatility within acceptable band,Seasonal revenue spike detected,Frequent B2B supplier payments,670341,Accepted
MC-KZ-00139,Jusan Bank,Standard,0.384,Medium,Payroll Solutions,Cross-sell working capital,0.98,Strong repayment history on retail products,Growing monthly turnover vs peer median,High cross-border payment velocity,861957,Rejected
MC-KZ-00140,Eurasian Bank,Standard,0.293,Low,Treasury Services,Propose payroll bundle,0.92,Growing monthly turnover vs peer median,Strong repayment history on retail products,Seasonal revenue spike detected,1028981,Accepted
MC-KZ-00141,Home Credit Bank,Gold,0.768,High,SME Lending,Propose payroll bundle,0.92,Frequent B2B supplier payments,E-commerce platform integrations active,Cash flow volatility within acceptable band,2409541,Deferred
MC-KZ-00142,Bank CenterCredit,World,0.631,High,Treasury Services,Cross-sell working capital,0.79,Seasonal revenue spike detected,High cross-border payment velocity,Strong repayment history on retail products,2683941,Accepted
MC-KZ-00143,ForteBank,World,0.695,Medium,Trade Finance,Propose payroll bundle,0.83,High cross-border payment velocity,Strong repayment history on retail products,Low utilization of existing credit,876087,Deferred
MC-KZ-00144,Eurasian Bank,World,0.425,Medium,SME Lending,Cross-sell working capital,0.88,E-commerce platform integrations active,Strong repayment history on retail products,Low utilization of existing credit,1599805,Accepted
MC-KZ-00145,Bank CenterCredit,World,0.478,Medium,Merchant Acquiring,Propose payroll bundle,0.84,Growing monthly turnover vs peer median,Strong repayment history on retail products,Low utilization of existing credit,924469,Deferred
MC-KZ-00146,Home Credit Bank,Standard,0.898,High,SME Lending,Propose payroll bundle,0.89,Strong repayment history on retail products,Multiple POS terminals registered,Low utilization of existing credit,2843101,Rejected
MC-KZ-00147,Eurasian Bank,World,0.65,Medium,SME Lending,Invite to merchant program,0.74,Frequent B2B supplier payments,High cross-border payment velocity,Industry sector growth above national average,2561050,Rejected
MC-KZ-00148,ForteBank,World,0.73,Medium,SME Lending,Enable trade finance package,0.76,High cross-border payment velocity,Frequent B2B supplier payments,E-commerce platform integrations active,3146772,Rejected
MC-KZ-00149,Jusan Bank,Business,0.61,Medium,Trade Finance,Enable trade finance package,0.75,Seasonal revenue spike detected,Growing monthly turnover vs peer median,High cross-border payment velocity,2148418,Rejected
MC-KZ-00150,Kaspi Bank,Standard,0.236,Low,Trade Finance,Invite to merchant program,0.95,Industry sector growth above national average,Low utilization of existing credit,E-commerce platform integrations active,363596,Deferred
MC-KZ-00151,ForteBank,Platinum,0.474,Low,Merchant Acquiring,Propose payroll bundle,0.9,Strong repayment history on retail products,Industry sector growth above national average,Growing monthly turnover vs peer median,1343785,Accepted
MC-KZ-00152,Jusan Bank,Standard,0.354,Low,Working Capital,Enable trade finance package,0.87,Growing monthly turnover vs peer median,Seasonal revenue spike detected,Frequent B2B supplier payments,593277,Deferred
MC-KZ-00153,Eurasian Bank,World,0.371,Low,Treasury Services,Cross-sell working capital,0.92,Industry sector growth above national average,Growing monthly turnover vs peer median,Cash flow volatility within acceptable band,721363,Pending
MC-KZ-00154,ForteBank,Gold,0.677,High,Treasury Services,Propose payroll bundle,0.87,Growing monthly turnover vs peer median,E-commerce platform integrations active,Cash flow volatility within acceptable band,2245205,Accepted
MC-KZ-00155,Kaspi Bank,Platinum,0.714,Medium,Payroll Solutions,Invite to merchant program,0.81,High cross-border payment velocity,Growing monthly turnover vs peer median,Frequent B2B supplier payments,1374636,Rejected
MC-KZ-00156,Bank CenterCredit,Business,0.25,Low,SME Lending,Enable trade finance package,0.89,Cash flow volatility within acceptable band,Low utilization of existing credit,Frequent B2B supplier payments,778146,Accepted
MC-KZ-00157,Halyk Bank,Standard,0.8,High,SME Lending,Propose payroll bundle,0.92,Industry sector growth above national average,Strong repayment history on retail products,High cross-border payment velocity,3082699,Rejected
MC-KZ-00158,Bank CenterCredit,Platinum,0.657,Medium,Payroll Solutions,Schedule relationship call,0.85,Multiple POS terminals registered,High cross-border payment velocity,E-commerce platform integrations active,2686663,Deferred
MC-KZ-00159,Jusan Bank,Gold,0.379,Medium,Working Capital,Enable trade finance package,0.76,High cross-border payment velocity,Frequent B2B supplier payments,E-commerce platform integrations active,886026,Rejected
MC-KZ-00160,Halyk Bank,Platinum,0.494,Low,Merchant Acquiring,Cross-sell working capital,0.75,Multiple POS terminals registered,Frequent B2B supplier payments,Strong repayment history on retail products,1336481,Deferred
MC-KZ-00161,Home Credit Bank,Gold,0.589,High,Working Capital,Enable trade finance package,0.91,Low utilization of existing credit,Multiple POS terminals registered,Cash flow volatility within acceptable band,1012255,Accepted
MC-KZ-00162,Jusan Bank,Standard,0.349,Low,SME Lending,Cross-sell working capital,0.85,Cash flow volatility within acceptable band,E-commerce platform integrations active,Industry sector growth above national average,1414350,Accepted
MC-KZ-00163,Home Credit Bank,World,0.691,High,Working Capital,Enable trade finance package,0.72,High cross-border payment velocity,Low utilization of existing credit,E-commerce platform integrations active,2080476,Pending
MC-KZ-00164,Halyk Bank,Business,0.703,Medium,Treasury Services,Invite to merchant program,0.81,Strong repayment history on retail products,Multiple POS terminals registered,Industry sector growth above national average,680080,Rejected
MC-KZ-00165,Halyk Bank,World,0.752,High,Working Capital,Monitor — nurture in 90 days,0.98,Cash flow volatility within acceptable band,Low utilization of existing credit,Growing monthly turnover vs peer median,959593,Rejected
MC-KZ-00166,Kaspi Bank,Platinum,0.23,Low,Trade Finance,Enable trade finance package,0.84,Cash flow volatility within acceptable band,Multiple POS terminals registered,High cross-border payment velocity,222553,Accepted
MC-KZ-00167,Bank CenterCredit,Business,0.595,Medium,Treasury Services,Cross-sell working capital,0.9,Frequent B2B supplier payments,Multiple POS terminals registered,Low utilization of existing credit,1783085,Rejected
MC-KZ-00168,Home Credit Bank,Standard,0.357,Medium,Treasury Services,Cross-sell working capital,0.79,Strong repayment history on retail products,Growing monthly turnover vs peer median,Multiple POS terminals registered,1056612,Accepted
MC-KZ-00169,Eurasian Bank,Gold,0.383,Low,SME Lending,Enable trade finance package,0.97,Frequent B2B supplier payments,Cash flow volatility within acceptable band,Multiple POS terminals registered,515813,Pending
MC-KZ-00170,Jusan Bank,Business,0.726,High,Treasury Services,Cross-sell working capital,0.95,Multiple POS terminals registered,Frequent B2B supplier payments,Industry sector growth above national average,2435622,Pending
MC-KZ-00171,ForteBank,Gold,0.357,Low,Trade Finance,Enable trade finance package,0.81,Cash flow volatility within acceptable band,Strong repayment history on retail products,E-commerce platform integrations active,979703,Rejected
MC-KZ-00172,ForteBank,Business,0.697,Medium,Working Capital,Invite to merchant program,0.96,Low utilization of existing credit,E-commerce platform integrations active,Seasonal revenue spike detected,3026477,Rejected
MC-KZ-00173,Home Credit Bank,Platinum,0.432,Low,Working Capital,Offer SME credit line,0.87,E-commerce platform integrations active,Strong repayment history on retail products,Industry sector growth above national average,903127,Deferred
MC-KZ-00174,Eurasian Bank,Standard,0.308,Low,Working Capital,Cross-sell working capital,0.89,Strong repayment history on retail products,Frequent B2B supplier payments,Low utilization of existing credit,294339,Deferred
MC-KZ-00175,Bank CenterCredit,Business,0.881,High,Merchant Acquiring,Invite to merchant program,0.73,Low utilization of existing credit,Cash flow volatility within acceptable band,Industry sector growth above national average,1152269,Accepted
MC-KZ-00176,Home Credit Bank,Gold,0.371,Medium,SME Lending,Enable trade finance package,0.97,Multiple POS terminals registered,Strong repayment history on retail products,E-commerce platform integrations active,434818,Accepted
MC-KZ-00177,ForteBank,Platinum,0.724,Medium,Working Capital,Propose payroll bundle,0.74,E-commerce platform integrations active,Industry sector growth above national average,Seasonal revenue spike detected,2604135,Pending
MC-KZ-00178,Kaspi Bank,Standard,0.443,Medium,Trade Finance,Monitor — nurture in 90 days,0.85,High cross-border payment velocity,Frequent B2B supplier payments,Multiple POS terminals registered,1800488,Rejected
MC-KZ-00179,Eurasian Bank,Business,0.154,Low,Treasury Services,Cross-sell working capital,0.95,Industry sector growth above national average,Growing monthly turnover vs peer median,Strong repayment history on retail products,285343,Accepted
MC-KZ-00180,Jusan Bank,Platinum,0.337,Low,Payroll Solutions,Invite to merchant program,0.72,Seasonal revenue spike detected,Growing monthly turnover vs peer median,Strong repayment history on retail products,472214,Rejected
MC-KZ-00181,Bank CenterCredit,Platinum,0.377,Low,SME Lending,Cross-sell working capital,0.89,Seasonal revenue spike detected,Frequent B2B supplier payments,Multiple POS terminals registered,1455168,Accepted
MC-KZ-00182,Jusan Bank,Platinum,0.341,Low,Working Capital,Schedule relationship call,0.87,Seasonal revenue spike detected,High cross-border payment velocity,Low utilization of existing credit,756756,Pending
MC-KZ-00183,Kaspi Bank,World,0.494,Medium,Payroll Solutions,Enable trade finance package,0.96,Seasonal revenue spike detected,High cross-border payment velocity,Growing monthly turnover vs peer median,1245849,Rejected
MC-KZ-00184,Kaspi Bank,World,0.605,Medium,Merchant Acquiring,Cross-sell working capital,0.91,Low utilization of existing credit,Strong repayment history on retail products,Seasonal revenue spike detected,974519,Rejected
MC-KZ-00185,Eurasian Bank,Business,0.57,Medium,SME Lending,Enable trade finance package,0.84,E-commerce platform integrations active,Cash flow volatility within acceptable band,Seasonal revenue spike detected,2062762,Rejected
MC-KZ-00186,Kaspi Bank,Gold,0.776,High,Working Capital,Monitor — nurture in 90 days,0.86,High cross-border payment velocity,Cash flow volatility within acceptable band,Seasonal revenue spike detected,2265141,Pending
MC-KZ-00187,Jusan Bank,Gold,0.637,Medium,Treasury Services,Cross-sell working capital,0.84,E-commerce platform integrations active,Growing monthly turnover vs peer median,Industry sector growth above national average,2415606,Pending
MC-KZ-00188,Halyk Bank,Gold,0.619,Medium,Treasury Services,Offer SME credit line,0.73,Low utilization of existing credit,High cross-border payment velocity,Multiple POS terminals registered,1077983,Rejected
MC-KZ-00189,Jusan Bank,Gold,0.366,Low,Merchant Acquiring,Monitor — nurture in 90 days,0.89,High cross-border payment velocity,Growing monthly turnover vs peer median,E-commerce platform integrations active,335775,Deferred
MC-KZ-00190,Eurasian Bank,Business,0.707,Medium,Merchant Acquiring,Propose payroll bundle,0.94,E-commerce platform integrations active,Multiple POS terminals registered,Cash flow volatility within acceptable band,775526,Pending
MC-KZ-00191,Home Credit Bank,Standard,0.765,High,Working Capital,Cross-sell working capital,0.9,Cash flow volatility within acceptable band,Frequent B2B supplier payments,Seasonal revenue spike detected,2974963,Deferred
MC-KZ-00192,Kaspi Bank,Standard,0.679,Medium,SME Lending,Monitor — nurture in 90 days,0.89,Seasonal revenue spike detected,E-commerce platform integrations active,Strong repayment history on retail products,932911,Pending
MC-KZ-00193,Eurasian Bank,Standard,0.577,High,Merchant Acquiring,Propose payroll bundle,0.73,Industry sector growth above national average,High cross-border payment velocity,E-commerce platform integrations active,1737811,Deferred
MC-KZ-00194,Eurasian Bank,Business,0.637,High,Working Capital,Enable trade finance package,0.88,High cross-border payment velocity,Frequent B2B supplier payments,Low utilization of existing credit,1061495,Rejected
MC-KZ-00195,Halyk Bank,Business,0.901,High,Treasury Services,Propose payroll bundle,0.96,Cash flow volatility within acceptable band,Seasonal revenue spike detected,Multiple POS terminals registered,1722580,Deferred
MC-KZ-00196,Jusan Bank,Gold,0.369,Medium,Working Capital,Cross-sell working capital,0.77,Strong repayment history on retail products,Multiple POS terminals registered,Industry sector growth above national average,1245870,Deferred
MC-KZ-00197,Jusan Bank,Business,0.64,High,Treasury Services,Invite to merchant program,0.82,Frequent B2B supplier payments,E-commerce platform integrations active,High cross-border payment velocity,1843730,Rejected
MC-KZ-00198,Home Credit Bank,Gold,0.809,High,SME Lending,Schedule relationship call,0.82,E-commerce platform integrations active,Strong repayment history on retail products,Growing monthly turnover vs peer median,2250518,Pending
MC-KZ-00199,Home Credit Bank,Platinum,0.225,Low,Working Capital,Offer SME credit line,0.78,Industry sector growth above national average,Cash flow volatility within acceptable band,Seasonal revenue spike detected,579096,Accepted
MC-KZ-00200,Kaspi Bank,Business,0.197,Low,Working Capital,Monitor — nurture in 90 days,0.79,E-commerce platform integrations active,Seasonal revenue spike detected,Cash flow volatility within acceptable band,446705,Deferred
